"_time","source_subnet","ip_dst","unique_scanners","ports_scanned","total_packets","alert_severity","alert_message"
"2024-08-19T12:00:00.000-0500","79.110.62.0/24","203.161.44.208",3,14,27,CRITICAL,"Coordinated botnet scan: 3 IPs from 79.110.62.0/24 scanning 203.161.44.208"
"2024-08-19T12:10:00.000-0500","79.110.62.0/24","203.161.44.208",3,13,26,CRITICAL,"Coordinated botnet scan: 3 IPs from 79.110.62.0/24 scanning 203.161.44.208"
"2024-08-19T12:10:00.000-0500","79.124.62.0/24","203.161.44.208",3,6,12,CRITICAL,"Coordinated botnet scan: 3 IPs from 79.124.62.0/24 scanning 203.161.44.208"
"2024-08-19T12:20:00.000-0500","194.26.29.0/24","203.161.44.208",6,6,12,CRITICAL,"Coordinated botnet scan: 6 IPs from 194.26.29.0/24 scanning 203.161.44.208"
"2024-08-19T12:20:00.000-0500","79.124.62.0/24","203.161.44.208",3,9,18,CRITICAL,"Coordinated botnet scan: 3 IPs from 79.124.62.0/24 scanning 203.161.44.208"
"2024-08-19T12:30:00.000-0500","79.110.62.0/24","203.161.44.208",3,17,33,CRITICAL,"Coordinated botnet scan: 3 IPs from 79.110.62.0/24 scanning 203.161.44.208"
"2024-08-19T12:30:00.000-0500","79.124.62.0/24","203.161.44.208",4,9,18,CRITICAL,"Coordinated botnet scan: 4 IPs from 79.124.62.0/24 scanning 203.161.44.208"
"2024-08-19T12:50:00.000-0500","194.26.29.0/24","203.161.44.208",5,9,18,CRITICAL,"Coordinated botnet scan: 5 IPs from 194.26.29.0/24 scanning 203.161.44.208"
"2024-08-19T12:50:00.000-0500","79.110.62.0/24","203.161.44.208",4,20,40,CRITICAL,"Coordinated botnet scan: 4 IPs from 79.110.62.0/24 scanning 203.161.44.208"
"2024-08-19T13:00:00.000-0500","79.110.62.0/24","203.161.44.208",3,15,30,CRITICAL,"Coordinated botnet scan: 3 IPs from 79.110.62.0/24 scanning 203.161.44.208"
"2024-08-19T13:00:00.000-0500","79.124.62.0/24","203.161.44.208",3,9,18,CRITICAL,"Coordinated botnet scan: 3 IPs from 79.124.62.0/24 scanning 203.161.44.208"
"2024-08-19T13:10:00.000-0500","79.110.62.0/24","203.161.44.208",3,18,36,CRITICAL,"Coordinated botnet scan: 3 IPs from 79.110.62.0/24 scanning 203.161.44.208"
"2024-08-19T13:20:00.000-0500","79.124.62.0/24","203.161.44.208",3,9,18,CRITICAL,"Coordinated botnet scan: 3 IPs from 79.124.62.0/24 scanning 203.161.44.208"
"2024-08-19T13:30:00.000-0500","79.124.62.0/24","203.161.44.208",3,9,18,CRITICAL,"Coordinated botnet scan: 3 IPs from 79.124.62.0/24 scanning 203.161.44.208"
"2024-08-19T13:40:00.000-0500","79.124.62.0/24","203.161.44.208",3,7,14,CRITICAL,"Coordinated botnet scan: 3 IPs from 79.124.62.0/24 scanning 203.161.44.208"
"2024-08-19T13:50:00.000-0500","194.26.29.0/24","203.161.44.208",6,7,13,CRITICAL,"Coordinated botnet scan: 6 IPs from 194.26.29.0/24 scanning 203.161.44.208"
"2024-08-19T13:50:00.000-0500","79.110.62.0/24","203.161.44.208",4,16,32,CRITICAL,"Coordinated botnet scan: 4 IPs from 79.110.62.0/24 scanning 203.161.44.208"
"2024-08-19T13:50:00.000-0500","79.124.62.0/24","203.161.44.208",3,6,12,CRITICAL,"Coordinated botnet scan: 3 IPs from 79.124.62.0/24 scanning 203.161.44.208"
"2024-08-19T14:00:00.000-0500","79.124.62.0/24","203.161.44.208",3,11,22,CRITICAL,"Coordinated botnet scan: 3 IPs from 79.124.62.0/24 scanning 203.161.44.208"
"2024-08-19T14:10:00.000-0500","79.124.62.0/24","203.161.44.208",3,8,16,CRITICAL,"Coordinated botnet scan: 3 IPs from 79.124.62.0/24 scanning 203.161.44.208"
"2024-08-19T14:20:00.000-0500","194.26.29.0/24","203.161.44.208",5,9,17,CRITICAL,"Coordinated botnet scan: 5 IPs from 194.26.29.0/24 scanning 203.161.44.208"
"2024-08-19T14:20:00.000-0500","79.110.62.0/24","203.161.44.208",3,16,32,CRITICAL,"Coordinated botnet scan: 3 IPs from 79.110.62.0/24 scanning 203.161.44.208"
"2024-08-19T14:20:00.000-0500","79.124.62.0/24","203.161.44.208",3,11,22,CRITICAL,"Coordinated botnet scan: 3 IPs from 79.124.62.0/24 scanning 203.161.44.208"
"2024-08-19T14:30:00.000-0500","194.26.29.0/24","203.161.44.208",5,7,14,CRITICAL,"Coordinated botnet scan: 5 IPs from 194.26.29.0/24 scanning 203.161.44.208"
"2024-08-19T14:30:00.000-0500","79.124.62.0/24","203.161.44.208",3,8,16,CRITICAL,"Coordinated botnet scan: 3 IPs from 79.124.62.0/24 scanning 203.161.44.208"
"2024-08-19T14:40:00.000-0500","79.110.62.0/24","203.161.44.208",3,11,21,CRITICAL,"Coordinated botnet scan: 3 IPs from 79.110.62.0/24 scanning 203.161.44.208"
"2024-08-19T14:50:00.000-0500","194.26.29.0/24","203.161.44.208",5,6,12,CRITICAL,"Coordinated botnet scan: 5 IPs from 194.26.29.0/24 scanning 203.161.44.208"
"2024-08-19T14:50:00.000-0500","79.110.62.0/24","203.161.44.208",3,11,22,CRITICAL,"Coordinated botnet scan: 3 IPs from 79.110.62.0/24 scanning 203.161.44.208"
"2024-08-19T15:00:00.000-0500","79.124.62.0/24","203.161.44.208",3,9,18,CRITICAL,"Coordinated botnet scan: 3 IPs from 79.124.62.0/24 scanning 203.161.44.208"
"2024-08-19T15:10:00.000-0500","194.26.29.0/24","203.161.44.208",7,8,14,CRITICAL,"Coordinated botnet scan: 7 IPs from 194.26.29.0/24 scanning 203.161.44.208"
"2024-08-19T15:20:00.000-0500","79.124.62.0/24","203.161.44.208",3,9,18,CRITICAL,"Coordinated botnet scan: 3 IPs from 79.124.62.0/24 scanning 203.161.44.208"
"2024-08-19T15:30:00.000-0500","194.26.29.0/24","203.161.44.208",4,6,12,CRITICAL,"Coordinated botnet scan: 4 IPs from 194.26.29.0/24 scanning 203.161.44.208"
"2024-08-19T15:30:00.000-0500","79.124.62.0/24","203.161.44.208",3,8,16,CRITICAL,"Coordinated botnet scan: 3 IPs from 79.124.62.0/24 scanning 203.161.44.208"
"2024-08-19T15:40:00.000-0500","79.110.62.0/24","203.161.44.208",3,14,28,CRITICAL,"Coordinated botnet scan: 3 IPs from 79.110.62.0/24 scanning 203.161.44.208"
