"_time","ip_src","ip_dst","critical_service","tcp_dstport",attempts,"alert_severity","alert_message"
"2024-08-19T13:00:00.000-0500","138.185.143.231","203.161.44.208",Telnet,23,17,MEDIUM,"Critical service scan: 138.185.143.231 probing Telnet (port 23) on 203.161.44.208 - 17 attempts"
"2024-08-19T16:45:00.000-0500","138.36.101.161","203.161.44.208",Telnet,23,9,MEDIUM,"Critical service scan: 138.36.101.161 probing Telnet (port 23) on 203.161.44.208 - 9 attempts"
"2024-08-20T00:00:00.000-0500","111.9.240.38","203.161.44.208",SSH,22,6,HIGH,"Critical service scan: 111.9.240.38 probing SSH (port 22) on 203.161.44.208 - 6 attempts"
"2024-08-20T02:00:00.000-0500","171.35.77.26","203.161.44.208",Telnet,23,62,MEDIUM,"Critical service scan: 171.35.77.26 probing Telnet (port 23) on 203.161.44.208 - 62 attempts"
"2024-08-20T02:15:00.000-0500","1.37.101.10","203.161.44.208",SMB,445,6,MEDIUM,"Critical service scan: 1.37.101.10 probing SMB (port 445) on 203.161.44.208 - 6 attempts"
"2024-08-20T04:30:00.000-0500","182.84.129.57","203.161.44.208",Telnet,23,17,MEDIUM,"Critical service scan: 182.84.129.57 probing Telnet (port 23) on 203.161.44.208 - 17 attempts"
"2024-08-20T05:15:00.000-0500","180.103.212.47","203.161.44.208",Telnet,23,13,MEDIUM,"Critical service scan: 180.103.212.47 probing Telnet (port 23) on 203.161.44.208 - 13 attempts"
"2024-08-20T10:00:00.000-0500","206.202.179.245","203.161.44.208",SSH,22,12,HIGH,"Critical service scan: 206.202.179.245 probing SSH (port 22) on 203.161.44.208 - 12 attempts"
"2024-08-20T11:00:00.000-0500","124.223.156.95","203.161.44.208",Telnet,23,11,MEDIUM,"Critical service scan: 124.223.156.95 probing Telnet (port 23) on 203.161.44.208 - 11 attempts"
"2024-08-21T02:00:00.000-0500","180.252.119.51","203.161.44.208",SMB,445,30,MEDIUM,"Critical service scan: 180.252.119.51 probing SMB (port 445) on 203.161.44.208 - 30 attempts"
"2024-08-21T02:30:00.000-0500","85.95.150.181","203.161.44.208",SSH,22,6,HIGH,"Critical service scan: 85.95.150.181 probing SSH (port 22) on 203.161.44.208 - 6 attempts"
"2024-08-21T10:15:00.000-0500","58.220.24.41","203.161.44.208",SSH,22,12,HIGH,"Critical service scan: 58.220.24.41 probing SSH (port 22) on 203.161.44.208 - 12 attempts"
