"_time","ip_src","ip_dst","unique_ports","total_packets","alert_severity","alert_message"
"2024-08-20T17:20:00.000-0500","203.161.44.208","172.104.4.17",41,185,HIGH,"Port scan detected: 203.161.44.208 scanned 41 ports on 172.104.4.17 (185 packets in 5 min)"
"2024-08-20T18:45:00.000-0500","203.161.44.208","78.153.140.177",33,140,HIGH,"Port scan detected: 203.161.44.208 scanned 33 ports on 78.153.140.177 (140 packets in 5 min)"
"2024-08-21T05:55:00.000-0500","203.161.44.208","207.192.240.242",23,92,HIGH,"Port scan detected: 203.161.44.208 scanned 23 ports on 207.192.240.242 (92 packets in 5 min)"
"2024-08-21T06:00:00.000-0500","203.161.44.208","207.192.240.242",28,112,HIGH,"Port scan detected: 203.161.44.208 scanned 28 ports on 207.192.240.242 (112 packets in 5 min)"
"2024-08-21T06:05:00.000-0500","203.161.44.208","207.192.240.242",28,112,HIGH,"Port scan detected: 203.161.44.208 scanned 28 ports on 207.192.240.242 (112 packets in 5 min)"
"2024-08-21T06:10:00.000-0500","203.161.44.208","207.192.240.242",29,116,HIGH,"Port scan detected: 203.161.44.208 scanned 29 ports on 207.192.240.242 (116 packets in 5 min)"
"2024-08-21T09:05:00.000-0500","203.161.44.208","206.168.34.32",63,63,HIGH,"Port scan detected: 203.161.44.208 scanned 63 ports on 206.168.34.32 (63 packets in 5 min)"
"2024-08-21T09:05:00.000-0500","206.168.34.32","203.161.44.208",20,63,HIGH,"Port scan detected: 206.168.34.32 scanned 20 ports on 203.161.44.208 (63 packets in 5 min)"
"2024-08-21T15:20:00.000-0500","203.161.44.208","185.91.69.110",16,76,HIGH,"Port scan detected: 203.161.44.208 scanned 16 ports on 185.91.69.110 (76 packets in 5 min)"
"2024-08-21T18:55:00.000-0500","203.161.44.208","172.56.93.191",53,95,HIGH,"Port scan detected: 203.161.44.208 scanned 53 ports on 172.56.93.191 (95 packets in 5 min)"
