"_time","time_period","ip_dst",packets,"unique_sources","ports_scanned","alert_severity","alert_message"
"2024-08-19T22:00:00.000-0500","2024-08-19 22:00","203.161.44.208",758,236,358,MEDIUM,"Off-hours scanning detected at 2024-08-19 22:00: 758 packets from 236 sources targeting 203.161.44.208"
"2024-08-19T23:00:00.000-0500","2024-08-19 23:00","203.161.44.208",754,249,380,MEDIUM,"Off-hours scanning detected at 2024-08-19 23:00: 754 packets from 249 sources targeting 203.161.44.208"
"2024-08-20T00:00:00.000-0500","2024-08-20 00:00","203.161.44.208",859,280,418,MEDIUM,"Off-hours scanning detected at 2024-08-20 00:00: 859 packets from 280 sources targeting 203.161.44.208"
"2024-08-20T01:00:00.000-0500","2024-08-20 01:00","203.161.44.208",962,245,471,MEDIUM,"Off-hours scanning detected at 2024-08-20 01:00: 962 packets from 245 sources targeting 203.161.44.208"
"2024-08-20T02:00:00.000-0500","2024-08-20 02:00","203.161.44.208",1055,268,456,MEDIUM,"Off-hours scanning detected at 2024-08-20 02:00: 1055 packets from 268 sources targeting 203.161.44.208"
"2024-08-20T03:00:00.000-0500","2024-08-20 03:00","203.161.44.208",930,230,429,MEDIUM,"Off-hours scanning detected at 2024-08-20 03:00: 930 packets from 230 sources targeting 203.161.44.208"
"2024-08-20T04:00:00.000-0500","2024-08-20 04:00","203.161.44.208",1005,271,439,MEDIUM,"Off-hours scanning detected at 2024-08-20 04:00: 1005 packets from 271 sources targeting 203.161.44.208"
"2024-08-20T05:00:00.000-0500","2024-08-20 05:00","203.161.44.208",1071,290,462,MEDIUM,"Off-hours scanning detected at 2024-08-20 05:00: 1071 packets from 290 sources targeting 203.161.44.208"
"2024-08-20T06:00:00.000-0500","2024-08-20 06:00","203.161.44.208",893,228,424,MEDIUM,"Off-hours scanning detected at 2024-08-20 06:00: 893 packets from 228 sources targeting 203.161.44.208"
"2024-08-20T22:00:00.000-0500","2024-08-20 22:00","203.161.44.208",785,254,372,MEDIUM,"Off-hours scanning detected at 2024-08-20 22:00: 785 packets from 254 sources targeting 203.161.44.208"
"2024-08-20T23:00:00.000-0500","2024-08-20 23:00","203.161.44.208",799,290,370,MEDIUM,"Off-hours scanning detected at 2024-08-20 23:00: 799 packets from 290 sources targeting 203.161.44.208"
"2024-08-21T00:00:00.000-0500","2024-08-21 00:00","203.161.44.208",824,314,418,MEDIUM,"Off-hours scanning detected at 2024-08-21 00:00: 824 packets from 314 sources targeting 203.161.44.208"
"2024-08-21T01:00:00.000-0500","2024-08-21 01:00","203.161.44.208",750,285,349,MEDIUM,"Off-hours scanning detected at 2024-08-21 01:00: 750 packets from 285 sources targeting 203.161.44.208"
"2024-08-21T02:00:00.000-0500","2024-08-21 02:00","203.161.44.208",844,311,416,MEDIUM,"Off-hours scanning detected at 2024-08-21 02:00: 844 packets from 311 sources targeting 203.161.44.208"
"2024-08-21T03:00:00.000-0500","2024-08-21 03:00","203.161.44.208",784,274,353,MEDIUM,"Off-hours scanning detected at 2024-08-21 03:00: 784 packets from 274 sources targeting 203.161.44.208"
"2024-08-21T04:00:00.000-0500","2024-08-21 04:00","203.161.44.208",1124,295,400,MEDIUM,"Off-hours scanning detected at 2024-08-21 04:00: 1124 packets from 295 sources targeting 203.161.44.208"
"2024-08-21T05:00:00.000-0500","2024-08-21 05:00","203.161.44.208",932,310,398,MEDIUM,"Off-hours scanning detected at 2024-08-21 05:00: 932 packets from 310 sources targeting 203.161.44.208"
"2024-08-21T06:00:00.000-0500","2024-08-21 06:00","203.161.44.208",1342,292,406,MEDIUM,"Off-hours scanning detected at 2024-08-21 06:00: 1342 packets from 292 sources targeting 203.161.44.208"
